kind,method,seed,updates_completed,reward_first_100,reward_last_100,best_source_val_mIoU_percent,best_update,final_reference_KL,max_abs_ratio_minus_one,max_clip_fraction,mean_zero_advantage_fraction,all_logged_values_finite
global,MaskCLIP,0,500,0.5775450339913368,0.5798640078306199,51.79217819523857,75,0.2535039186477661,0.010080695152282715,0.0,0.0,1
global,MaskCLIP,1,500,0.5829493311047554,0.5774894183874131,51.781066623252144,75,0.21664969250559807,0.010069310665130615,0.0,0.0,1
global,MaskCLIP,2,500,0.5644980585575103,0.5763787570595741,51.82120351985973,100,0.22330700233578682,0.010780811309814453,0.0,0.0,1
global,SCLIP,0,500,0.5511688080430031,0.5503536474704742,47.1740943693958,25,0.5161968469619751,0.011064291000366211,0.0,0.0,1
global,SCLIP,1,500,0.559352570772171,0.5475502872467041,47.250401619135026,1,0.49414706975221634,0.012438178062438965,0.0,0.0,1
global,SCLIP,2,500,0.5375246569514275,0.5434330356121063,47.163930875933545,25,0.5075759440660477,0.01584339141845703,0.0,0.0,1
global,ClearCLIP,0,500,0.5803006172180176,0.5740410375595093,50.49730664351975,450,0.22527313977479935,0.013278484344482422,0.0,0.0,1
global,ClearCLIP,1,500,0.5830508029460907,0.5739444741606712,50.22045783042921,400,0.1794288270175457,0.012583017349243164,0.0,0.0,1
global,ClearCLIP,2,500,0.5687373739480972,0.5753263440728188,50.20743887569659,500,0.1521676741540432,0.012650847434997559,0.0,0.0,1
global,NACLIP,0,500,0.5284806948900223,0.5275860187411309,48.21795932528009,275,0.17348717898130417,0.011795461177825928,0.0,0.0,1
global,NACLIP,1,500,0.5302510321140289,0.5282646706700325,48.233692730680694,225,0.21190044656395912,0.013225018978118896,0.0,0.0,1
global,NACLIP,2,500,0.5222237160801888,0.5314267790317535,48.01592512301616,225,0.21030565351247787,0.012279808521270752,0.0,0.0,1
conditional,MaskCLIP,0,500,0.5806185579299927,0.5913199299573898,52.155885752130274,275,0.5791192650794983,0.08856874704360962,0.0,0.0,1
conditional,MaskCLIP,1,500,0.5862800553441048,0.5886441460251808,51.96681548144944,200,0.6242887824773788,0.091255784034729,0.0,0.0,1
conditional,MaskCLIP,2,500,0.5674694788455963,0.5880015951395035,51.92323338113569,300,1.2567480206489563,0.16310203075408936,0.0,0.0,1
conditional,SCLIP,0,500,0.552855484187603,0.5358107575774192,47.32269282796976,25,7.53912627696991,0.1069033145904541,0.0,0.00025,1
conditional,SCLIP,1,500,0.5611195638775826,0.5302201279997826,47.26705662314426,1,7.039010763168335,0.1044875979423523,0.0,0.0,1
conditional,SCLIP,2,500,0.5393304923176765,0.5261566132307053,47.193883094670554,1,6.9212974309921265,0.12233126163482666,0.0,0.0,1
conditional,ClearCLIP,0,500,0.5824940872192382,0.5837389615178108,52.14214946224449,500,0.8447159230709076,0.08786958456039429,0.0,0.0,1
conditional,ClearCLIP,1,500,0.5857082805037499,0.5807823553681374,52.09180164495106,500,0.5357458889484406,0.10494792461395264,0.0,0.0,1
conditional,ClearCLIP,2,500,0.5707938867807388,0.5843754059076309,51.747157228825046,475,0.6708976924419403,0.16063332557678223,0.0,0.0,1
conditional,NACLIP,0,500,0.5328693148493767,0.5428232204914093,49.29701922519233,475,2.123220682144165,0.18455666303634644,0.0,0.0,1
conditional,NACLIP,1,500,0.5342907762527466,0.5430589148402214,49.796077938803954,475,0.8813627362251282,0.18311047554016113,0.0,0.0,1
conditional,NACLIP,2,500,0.5269161695241928,0.5445005664229393,49.17347537708525,75,1.4771965146064758,0.1291542649269104,0.0,0.0,1
