experiment,split,method,setting,dataset,num_seeds,mIoU_percent,mIoU_seed_std_percent,foreground_mIoU_percent,foreground_mIoU_seed_std_percent,background_IoU_percent,background_IoU_seed_std_percent,foreground_Dice_percent,foreground_Dice_seed_std_percent,AUROC_percent,AUROC_seed_std_percent,absent_FP_area_percent,absent_FP_area_seed_std_percent
exp1_baseline,internal_unused_source,MaskCLIP,original_ngsc,macro_average,1,53.89512816672139,,23.363550896514738,,93.80980819969518,,34.35030236213442,,,,2.5329337376019603,
exp1_baseline,internal_unused_source,MaskCLIP,core_fixed,macro_average,1,54.12962038103784,,24.23552685273081,,93.83829956293889,,35.814000368614984,,,,2.5674962651518847,
exp1_baseline,internal_unused_source,MaskCLIP,source_static,macro_average,1,56.008217066250346,,25.9404083000702,,95.71468161037548,,37.52692334794327,,,,1.8089600903623506,
exp2,internal_unused_source,MaskCLIP,global_beta_grpo,macro_average,3,56.06856556346709,0.010004106426296507,25.91218635008462,0.007103309116818638,95.85322116833909,0.017209553162669013,37.446563338043894,0.01025117484796761,92.83491585839292,0.001054778032334002,1.6883314363307804,0.017290308393205934
exp2,internal_unused_source,MaskCLIP,conditional_beta_grpo,macro_average,3,55.765879688547635,0.14159744089376536,25.663103992395797,0.28666945548009926,95.43325378025655,0.12490718547488455,37.294697753473734,0.32905690247411606,92.84622769760415,0.005153222740934099,2.4629816912100035,0.20073640500849863
exp1_baseline,internal_unused_source,SCLIP,original_ngsc,macro_average,1,52.76714059833498,,23.288639258830596,,91.76120402905077,,31.955155745365175,,,,1.7869980732931008,
exp1_baseline,internal_unused_source,SCLIP,core_fixed,macro_average,1,53.05577208841188,,23.839842509748653,,91.62153238692443,,33.315962092779486,,,,2.9459422112870697,
exp1_baseline,internal_unused_source,SCLIP,source_static,macro_average,1,55.455885891069165,,25.580780883255667,,94.81541663716189,,35.28666586269229,,,,2.0850939994571283,
exp2,internal_unused_source,SCLIP,global_beta_grpo,macro_average,3,55.46151376911308,0.004633594146345032,25.568662724229323,0.010311989572434333,94.85086877386556,0.029827887503169004,35.27655506562905,0.00871558720051324,86.65834508609925,0.0018364898390824996,2.0620045005943983,0.019345298574620005
exp2,internal_unused_source,SCLIP,conditional_beta_grpo,macro_average,3,55.45484692086068,0.006387888553302901,25.604326010401522,0.043608051863646746,94.78655325957726,0.04433846576878204,35.31459319473731,0.057912685802771986,86.65219757691845,0.006805338518412208,2.085124289530329,0.00334593224462983
exp1_baseline,internal_unused_source,ClearCLIP,original_ngsc,macro_average,1,53.182097134285314,,24.599631633048112,,91.49417993983786,,33.66474396210909,,,,1.8708261872474201,
exp1_baseline,internal_unused_source,ClearCLIP,core_fixed,macro_average,1,52.930473704462024,,24.06253035356332,,91.75831663788979,,34.29189686170133,,,,2.6612239893827456,
exp1_baseline,internal_unused_source,ClearCLIP,source_static,macro_average,1,55.4369948331044,,25.643734188381796,,95.31158975797365,,35.86421633684333,,,,1.5497421426669342,
exp2,internal_unused_source,ClearCLIP,global_beta_grpo,macro_average,3,55.64569785609027,0.01968566299541788,25.469211752629413,0.04972431735007491,95.92184612332075,0.0556085129911923,35.78078883055093,0.04855370605038666,93.22848028738281,0.0023528709247927623,1.2168907942862859,0.026772811569525958
exp2,internal_unused_source,ClearCLIP,conditional_beta_grpo,macro_average,3,55.26569215137561,0.10886993920956631,24.951684356476353,0.32534620118596064,95.54276696640355,0.09135875439804288,35.75764473608611,0.3729436927580172,93.2180813384608,0.027258297577713378,1.7218576180640128,0.03579585183418531
